Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2014-04-21 00:00:00+07:00,1884.6600776006712,1888.86690813103,1876.246416539954,1880.4532470703125,25826500,0.0,0.0
2014-04-22 00:00:00+07:00,1842.591624540441,1863.6257755055146,1834.1779641544117,1859.4189453125,113037000,0.0,0.0
2014-04-23 00:00:00+07:00,1834.1779641544117,1863.6257755055146,1834.1779641544117,1859.4189453125,65790500,0.0,0.0
2014-04-24 00:00:00+07:00,1859.418786621094,1859.418786621094,1842.5914672851563,1851.005126953125,41550000,0.0,0.0
2014-04-25 00:00:00+07:00,1851.005126953125,1859.418786621094,1851.005126953125,1851.005126953125,43241000,0.0,0.0
2014-04-28 00:00:00+07:00,1855.2125408244583,1888.8671900911152,1783.6964111328125,1783.6964111328125,56595500,0.0,0.0
2014-04-29 00:00:00+07:00,1834.1778076171875,1859.418786621094,1834.1778076171875,1851.005126953125,85302500,0.0,0.0
2014-04-30 00:00:00+07:00,1863.7127685546875,1867.9484793923118,1855.2413468794389,1863.7127685546875,91065500,15.0,0.0
2014-05-02 00:00:00+07:00,1880.6553579691058,1927.248170891764,1859.476806640625,1859.476806640625,56020500,0.0,0.0
2014-05-05 00:00:00+07:00,1859.476806640625,1863.712516906321,1859.476806640625,1859.476806640625,15491000,0.0,0.0
2014-05-06 00:00:00+07:00,1863.7127685546875,1884.8913227428088,1859.4770577170632,1863.7127685546875,16333000,0.0,0.0
2014-05-07 00:00:00+07:00,1863.7127685546875,1880.6556119051845,1855.2413468794389,1863.7127685546875,35320000,0.0,0.0
2014-05-08 00:00:00+07:00,1893.3621411906108,1897.597850678733,1855.2407557975114,1872.18359375,30284000,0.0,0.0
2014-05-09 00:00:00+07:00,1855.2416398184641,1897.5987548828125,1855.2416398184641,1897.5987548828125,33977000,0.0,0.0
2014-05-12 00:00:00+07:00,1897.5987548828125,1897.5987548828125,1872.1844858442034,1897.5987548828125,59734500,0.0,0.0
2014-05-13 00:00:00+07:00,1897.5987548828125,1910.3058894021171,1880.6559088570732,1897.5987548828125,40691000,0.0,0.0
2014-05-14 00:00:00+07:00,1914.5409091495733,1948.4265889575302,1897.5980692455946,1923.0123291015625,104184500,0.0,0.0
2014-05-16 00:00:00+07:00,1884.8909393176107,1944.1908789815357,1884.8909393176107,1923.0123291015625,109104000,0.0,0.0
2014-05-19 00:00:00+07:00,1923.0123291015625,1952.6622989335249,1906.0694891975838,1923.0123291015625,119587500,0.0,0.0
2014-05-20 00:00:00+07:00,1889.1268310546877,1927.2482245064639,1867.9482791370342,1889.1268310546875,101861000,0.0,0.0
2014-05-21 00:00:00+07:00,1893.3626708984375,1910.305513591041,1872.1841175326833,1893.3626708984375,64016000,0.0,0.0
2014-05-22 00:00:00+07:00,1935.719970703125,1935.719970703125,1880.655726459929,1935.719970703125,79345000,0.0,0.0
2014-05-23 00:00:00+07:00,1927.248779296875,1935.7202025025754,1906.0702212826236,1927.248779296875,45565000,0.0,0.0
2014-05-26 00:00:00+07:00,1914.541015625,1931.4838564712388,1906.0695952018805,1914.541015625,23381500,0.0,0.0
